"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1520401A03Rik",0,3.17458720098782,0.496,0.025,0,"0","1520401A03Rik"
"Eln",0,2.83035087945844,0.873,0.245,0,"0","Eln"
"Cytl1",0,2.77785845990678,0.984,0.123,0,"0","Cytl1"
"Col9a3",0,2.60552916988354,0.911,0.039,0,"0","Col9a3"
"Snorc",0,2.60138401547066,0.905,0.023,0,"0","Snorc"
"Wif1",0,2.48603948196821,0.992,0.188,0,"0","Wif1"
"G0s2",0,2.35155808547616,0.415,0.041,0,"0","G0s2"
"Trf",0,2.32206638330074,0.561,0.068,0,"0","Trf"
"Chil1",0,2.24502796278421,0.824,0.088,0,"0","Chil1"
"Col8a1",0,2.1744306978335,0.992,0.209,0,"0","Col8a1"
"Smoc2",0,2.1330259458799,0.949,0.208,0,"0","Smoc2"
"Acan",0,2.13229581687986,0.887,0.033,0,"0","Acan"
"Col2a1",0,2.00273496493125,0.595,0.02,0,"0","Col2a1"
"Fzd9",0,1.88383417050372,0.705,0.021,0,"0","Fzd9"
"Col9a2",0,1.88183212847513,0.733,0.023,0,"0","Col9a2"
"Myoc",0,1.87587444100587,0.829,0.147,0,"0","Myoc"
"Prg4",0,1.86450105405713,0.552,0.03,0,"0","Prg4"
"Sdc4",0,1.8546883935376,0.992,0.644,0,"0","Sdc4"
"Rcan1",0,1.77230078116181,0.943,0.38,0,"0","Rcan1"
"Chad",0,1.76777082339934,0.851,0.107,0,"0","Chad"
"Cnmd",0,1.75355700171605,0.703,0.042,0,"0","Cnmd"
"Rbp4",0,1.75066199578709,0.881,0.158,0,"0","Rbp4"
"Sox9",0,1.72466167111162,0.781,0.143,0,"0","Sox9"
"Mia",0,1.68473046705333,0.815,0.071,0,"0","Mia"
"Cpe",0,1.60689679777324,0.971,0.394,0,"0","Cpe"
"Col27a1",0,1.58727247867077,0.83,0.102,0,"0","Col27a1"
"Cdo1",0,1.56176895669325,0.782,0.101,0,"0","Cdo1"
"Ecrg4",0,1.53608244079485,0.716,0.102,0,"0","Ecrg4"
"Col11a1",0,1.4946475832022,0.773,0.084,0,"0","Col11a1"
"Bgn",0,1.48777262345554,0.999,0.501,0,"0","Bgn"
"Ppp1r1b",0,1.39818728923396,0.708,0.031,0,"0","Ppp1r1b"
"S100b",0,1.36063614633251,0.591,0.031,0,"0","S100b"
"Clu",0,1.36032832086769,0.842,0.236,0,"0","Clu"
"Tlr2",0,1.35878201679119,0.757,0.185,0,"0","Tlr2"
"Col9a1",0,1.33434183930194,0.58,0.029,0,"0","Col9a1"
"Cx3cl1",0,1.27803499782352,0.533,0.036,0,"0","Cx3cl1"
"Abi3bp",0,1.27297402747539,0.916,0.261,0,"0","Abi3bp"
"Meltf",0,1.21806072556598,0.587,0.008,0,"0","Meltf"
"Pcolce2",0,1.20480278093076,0.733,0.166,0,"0","Pcolce2"
"Irx3",0,1.18922380903784,0.59,0.125,0,"0","Irx3"
"Sod3",0,1.1880825217808,0.673,0.138,0,"0","Sod3"
"C4b",0,1.12383390649529,0.596,0.056,0,"0","C4b"
"Loxl4",0,1.09542693158971,0.508,0.027,0,"0","Loxl4"
"Col11a2",0,1.08700074055553,0.515,0.012,0,"0","Col11a2"
"Lif",0,1.07149925086999,0.375,0.039,0,"0","Lif"
"Dkk3",0,1.05624549795029,0.663,0.138,0,"0","Dkk3"
"Timp4",0,1.04169682279124,0.467,0.032,0,"0","Timp4"
"Fgfr3",0,1.03933642504259,0.495,0.059,0,"0","Fgfr3"
"Fmod",0,1.03449026410779,0.776,0.129,0,"0","Fmod"
"Hapln1",0,1.00009280952821,0.478,0.025,0,"0","Hapln1"
"Susd5",0,0.934189734443238,0.478,0.022,0,"0","Susd5"
"Pla2g5",0,0.902786600638204,0.438,0.026,0,"0","Pla2g5"
"Gm19935",0,0.885628628232893,0.39,0.019,0,"0","Gm19935"
"Gpc6",0,0.846587214843046,0.467,0.05,0,"0","Gpc6"
"Foxa3",0,0.846009513927587,0.346,0.006,0,"0","Foxa3"
"Crispld1",0,0.845342406440922,0.504,0.065,0,"0","Crispld1"
"Wwp2",0,0.835043177236606,0.442,0.06,0,"0","Wwp2"
"Etnk2",0,0.819935367705865,0.329,0.014,0,"0","Etnk2"
"Cspg4",0,0.809619868714826,0.442,0.049,0,"0","Cspg4"
"Scube1",0,0.789048334931922,0.372,0.011,0,"0","Scube1"
"5033426O07Rik",0,0.788436518970238,0.356,0.01,0,"0","5033426O07Rik"
"Lbhd2",0,0.770860596914313,0.299,0.008,0,"0","Lbhd2"
"Ncmap",0,0.747053956758606,0.496,0.022,0,"0","Ncmap"
"Corin",0,0.734617501186151,0.335,0.014,0,"0","Corin"
"Rflna",0,0.722744017165135,0.328,0.016,0,"0","Rflna"
"Dhx58os",0,0.682863249770245,0.32,0.028,0,"0","Dhx58os"
"Xylt1",0,0.659851936555998,0.325,0.032,0,"0","Xylt1"
"Sdk2",0,0.594155073968824,0.315,0.02,0,"0","Sdk2"
"D630045J12Rik",0,0.535664133081403,0.252,0.017,0,"0","D630045J12Rik"
"Msmp",8.30430957621252e-304,2.08283238607872,0.257,0.019,1.55722413173137e-299,"0","Msmp"
"Pam",1.8004971477272e-303,1.03904142261105,0.804,0.24,3.37629225141804e-299,"0","Pam"
"Cst3",1.06822545172319e-300,1.3158938473919,1,0.934,2.00313636707133e-296,"0","Cst3"
"Trpv4",1.48338940184937e-290,0.509447138017397,0.263,0.021,2.78165180634794e-286,"0","Trpv4"
"Ifitm10",5.54995124487491e-286,0.764012927960139,0.371,0.048,1.04072685743894e-281,"0","Ifitm10"
"F3",1.88481876876742e-283,1.39691612697432,0.853,0.309,3.53441215519266e-279,"0","F3"
"Trim47",1.37205810675528e-282,1.09513439487887,0.872,0.341,2.5728833617875e-278,"0","Trim47"
"Ano1",3.91813473597605e-282,0.636559605991449,0.341,0.041,7.34728625690228e-278,"0","Ano1"
"Sparcl1",1.07118386393493e-275,0.64311330739757,0.862,0.241,2.00868398165078e-271,"0","Sparcl1"
"Notum",3.29928943986949e-275,0.908899476557828,0.339,0.041,6.18682755764327e-271,"0","Notum"
"Tiam2",5.5746048293843e-275,0.631996780952963,0.294,0.03,1.04534989760614e-270,"0","Tiam2"
"Smim3",7.72765694734231e-267,1.05689180510323,0.663,0.178,1.44909023076563e-262,"0","Smim3"
"Frzb",6.79110201783513e-264,0.679289353371546,0.315,0.037,1.27346745038444e-259,"0","Frzb"
"Kank1",3.0862735185824e-263,0.702459955660575,0.372,0.054,5.78738010204572e-259,"0","Kank1"
"Penk",3.79463582634571e-262,1.08440726083573,0.63,0.152,7.11570110156348e-258,"0","Penk"
"Sox5",7.49717836737938e-260,0.479395671770285,0.271,0.026,1.40587088745098e-255,"0","Sox5"
"Bmp5",2.28615677363724e-256,0.658456736978834,0.409,0.064,4.28700118192455e-252,"0","Bmp5"
"Proser2",1.42278995267011e-254,0.612627221651054,0.311,0.037,2.66801571924699e-250,"0","Proser2"
"Ninj1",2.25906490872665e-253,1.11135043958556,0.884,0.417,4.23619851684421e-249,"0","Ninj1"
"Ier3",3.23555353176785e-252,1.28362752378807,0.981,0.72,6.06730998277107e-248,"0","Ier3"
"Synpo",9.09366003561347e-250,0.751995109858576,0.438,0.078,1.70524312987824e-245,"0","Synpo"
"Gadd45a",1.38158628295338e-248,1.30802341792514,0.71,0.232,2.59075059779419e-244,"0","Gadd45a"
"Nfatc1",7.37797174238489e-248,0.951543140913786,0.635,0.179,1.38351726113202e-243,"0","Nfatc1"
"Ptpn2",4.83809303942708e-245,1.19829997083582,0.696,0.237,9.07239206753367e-241,"0","Ptpn2"
"Meg3",1.81608935043008e-240,1.04963971224609,0.913,0.355,3.40553074992649e-236,"0","Meg3"
"Bmp2",1.4221075160856e-239,1.06012962738966,0.627,0.172,2.66673601416372e-235,"0","Bmp2"
"Tnfaip8",1.47005873655324e-235,0.938861815930003,0.684,0.214,2.75665414278464e-231,"0","Tnfaip8"
"Tnfrsf10b",2.12686327421661e-234,0.596675448054865,0.308,0.04,3.98829401181099e-230,"0","Tnfrsf10b"
"Rgs3",5.42045520599604e-233,0.906032300782623,0.604,0.157,1.01644376022838e-228,"0","Rgs3"
"Errfi1",5.3543493872019e-227,1.17343923519501,0.958,0.698,1.0040475970881e-222,"0","Errfi1"
"Bzw1",1.70408129438344e-225,1.08092878620935,0.933,0.607,3.19549324322783e-221,"0","Bzw1"
"Ntrk2",5.99316901693534e-224,0.617734622777314,0.403,0.071,1.12383905405571e-219,"0","Ntrk2"
"Raph1",1.46722758161695e-221,0.915420260343767,0.7,0.243,2.7513451610481e-217,"0","Raph1"
"4930523C07Rik",3.37832051809674e-217,0.989023719396001,0.808,0.342,6.33502663553501e-213,"0","4930523C07Rik"
"Scara3",2.22525203585968e-216,0.816758465539648,0.529,0.13,4.17279261764406e-212,"0","Scara3"
"Emilin1",8.66902281364246e-215,0.776009496049225,0.481,0.109,1.62561515801423e-210,"0","Emilin1"
"Lmcd1",5.94782343095471e-210,1.03265516069085,0.497,0.116,1.11533584977263e-205,"0","Lmcd1"
"Gadd45b",1.66622798263827e-206,1.19122575963053,0.944,0.619,3.12451071304328e-202,"0","Gadd45b"
"Prkca",3.48404941578495e-205,0.727901865051114,0.518,0.13,6.53328946447994e-201,"0","Prkca"
"Trabd2b",8.82896477791049e-204,0.533281836880919,0.303,0.045,1.65560747515378e-199,"0","Trabd2b"
"Hbegf",7.52523757867452e-203,1.15959233582976,0.846,0.396,1.41113255075305e-198,"0","Hbegf"
"Isg20",7.71355340668272e-202,0.843880089800287,0.416,0.088,1.44644553482114e-197,"0","Isg20"
"Sgms2",3.39405078694499e-201,0.78812511416842,0.529,0.141,6.36452403567924e-197,"0","Sgms2"
"Foxc2",1.7587412766477e-199,0.496174314480565,0.259,0.032,3.29799164196976e-195,"0","Foxc2"
"Boc",3.61671284153308e-197,0.74521755298765,0.497,0.126,6.78205992044284e-193,"0","Boc"
"Fxyd3",2.07685002568847e-196,0.916627866303811,0.882,0.343,3.89450916817101e-192,"0","Fxyd3"
"Gsn",1.82702924054171e-194,1.01142946383893,0.997,0.761,3.42604523186382e-190,"0","Gsn"
"Bhlhe40",3.25364261475772e-194,1.10008121163009,0.799,0.358,6.10123063119367e-190,"0","Bhlhe40"
"Nedd4l",3.27267262693688e-193,0.630341388377055,0.363,0.069,6.13691571003204e-189,"0","Nedd4l"
"Pde4b",2.69531041364418e-192,1.01556689613926,0.8,0.368,5.05424608766556e-188,"0","Pde4b"
"Lbp",2.37479803556559e-191,0.917244345159018,0.659,0.216,4.4532212762926e-187,"0","Lbp"
"Tob1",5.65051262067047e-191,1.05549800822734,0.763,0.348,1.05958412662813e-186,"0","Tob1"
"Col8a2",4.54639548896072e-190,0.614269174403873,0.384,0.074,8.52540082089915e-186,"0","Col8a2"
"Fbxo2",2.59735229021755e-189,0.606890394453583,0.327,0.056,4.87055501461594e-185,"0","Fbxo2"
"Fgfrl1",3.11346609845948e-188,0.472247154372579,0.268,0.037,5.83837162783122e-184,"0","Fgfrl1"
"A130051J06Rik",3.18616209401035e-186,0.656145942298817,0.263,0.037,5.97469115868822e-182,"0","A130051J06Rik"
"Mfge8",3.84635722595218e-185,0.874840093868229,0.866,0.42,7.21268907010554e-181,"0","Mfge8"
"Ifrd1",3.97221879687686e-182,1.20030267204216,0.965,0.788,7.44870468790349e-178,"0","Ifrd1"
"Chadl",5.57661629907409e-182,0.553606376652168,0.252,0.034,1.04572708840237e-177,"0","Chadl"
"Sobp",5.359429897849e-180,0.511946696392337,0.276,0.042,1.00500029444464e-175,"0","Sobp"
"Pmm1",6.40016423897714e-180,0.689338491276835,0.47,0.123,1.20015879809299e-175,"0","Pmm1"
"Stk38l",7.11782848838509e-178,0.605572051030117,0.316,0.056,1.33473519814197e-173,"0","Stk38l"
"Gss",8.73907782836927e-177,0.68940213498982,0.356,0.072,1.63875187437581e-172,"0","Gss"
"Ldlrad3",3.76422662832219e-176,0.465930811679319,0.278,0.043,7.05867777342978e-172,"0","Ldlrad3"
"Sparc",1.12555164128712e-175,0.841051210385871,1,0.69,2.11063443774161e-171,"0","Sparc"
"Tnfrsf12a",2.17749959765847e-175,0.812782542345278,0.966,0.714,4.08324724552916e-171,"0","Tnfrsf12a"
"Malat1",4.02731630508274e-174,0.665984467748353,1,0.939,7.55202353529116e-170,"0","Malat1"
"Tsc22d1",4.68843788744228e-174,0.942842358942005,0.818,0.396,8.79175872653176e-170,"0","Tsc22d1"
"Rarg",5.9295470796952e-173,0.811505895082589,0.591,0.206,1.11190866838444e-168,"0","Rarg"
"Comp",8.21277604336685e-173,1.0774400303068,0.422,0.095,1.54005976365215e-168,"0","Comp"
"Maged2",2.52429340244507e-170,0.783859902366293,0.586,0.198,4.73355498826499e-166,"0","Maged2"
"Ier5",1.67193936413485e-169,0.892107195762871,0.946,0.667,3.13522069562568e-165,"0","Ier5"
"Dbi",7.57863633665393e-169,0.915608129903632,0.923,0.591,1.42114588584934e-164,"0","Dbi"
"Tspan3",1.47497642837109e-166,0.78539229019156,0.806,0.407,2.76587579848146e-162,"0","Tspan3"
"Ccn2",4.19529351580814e-161,0.808936382886726,0.366,0.077,7.86701440084342e-157,"0","Ccn2"
"Ddit3",1.61220097087264e-158,0.908289886088987,0.629,0.245,3.02319926058037e-154,"0","Ddit3"
"Phlda1",3.74619841070804e-158,1.14697498277672,0.93,0.617,7.02487125975971e-154,"0","Phlda1"
"Ptgis",3.82554133151108e-157,0.517264904418598,0.404,0.09,7.17365510484957e-153,"0","Ptgis"
"Uap1",5.70356394442236e-156,0.932388292526174,0.909,0.567,1.06953231085808e-151,"0","Uap1"
"Nid2",6.08948045673773e-156,0.55177842013604,0.258,0.042,1.14189937524746e-151,"0","Nid2"
"Azin1",9.84748893604775e-154,0.764132761166824,0.747,0.36,1.84660112528767e-149,"0","Azin1"
"Tnfrsf21",2.98526617413759e-153,0.514408769428279,0.352,0.076,5.59797112974282e-149,"0","Tnfrsf21"
"Mdfi",1.09203531419426e-151,0.745443156303791,0.362,0.087,2.04778462117708e-147,"0","Mdfi"
"Mgp",9.74786110928561e-151,0.419236007607983,0.681,0.225,1.82791891521324e-146,"0","Mgp"
"Cyp26b1",3.25524117515238e-147,0.613553479224784,0.505,0.152,6.10422825164575e-143,"0","Cyp26b1"
"Cadm1",3.36498946369851e-147,0.580860642957702,0.4,0.102,6.31002824232745e-143,"0","Cadm1"
"Dipk2a",1.24286846729025e-146,0.632602529601155,0.434,0.12,2.33062694986267e-142,"0","Dipk2a"
"mt-Co1",3.53803293623702e-145,0.411051864295671,1,0.93,6.63451936203166e-141,"0","mt-Co1"
"Rnd1",1.53059218306154e-142,0.883884530759048,0.63,0.229,2.87016646167701e-138,"0","Rnd1"
"Ecm2",2.38170350307028e-142,0.725078973197179,0.629,0.239,4.46617040895739e-138,"0","Ecm2"
"Oaf",3.17058428710733e-141,0.946468339216972,0.603,0.233,5.94547965518366e-137,"0","Oaf"
"Cd200",5.11617742264198e-140,0.639422949892201,0.552,0.181,9.59385590293825e-136,"0","Cd200"
"Gfpt2",2.53236913851235e-138,0.578479767907625,0.668,0.246,4.74869860853835e-134,"0","Gfpt2"
"Arhgef1",2.71504905076759e-137,0.624704606115757,0.511,0.177,5.09125997999938e-133,"0","Arhgef1"
"St3gal6",4.20090997791223e-137,0.505967723675359,0.389,0.097,7.87754639058101e-133,"0","St3gal6"
"Irx5",4.62750595011633e-137,0.677136965216815,0.38,0.1,8.67749915765814e-133,"0","Irx5"
"Insig1",5.21480119605859e-137,0.695946862289417,0.344,0.082,9.77879520284907e-133,"0","Insig1"
"Id1",1.29362972985892e-136,0.815681679051412,0.796,0.389,2.42581446943144e-132,"0","Id1"
"Rheb",2.53540749587996e-136,0.686966608173124,0.933,0.725,4.7543961362741e-132,"0","Rheb"
"Ckap4",1.87493285996014e-135,0.768678689944114,0.719,0.362,3.51587409899726e-131,"0","Ckap4"
"Ndrg2",3.28216508719313e-135,0.547527599760985,0.524,0.174,6.15471597150455e-131,"0","Ndrg2"
"Itm2c",8.74379519926921e-135,0.667383237275824,0.877,0.509,1.63963647576696e-130,"0","Itm2c"
"Lox",1.18057796202817e-134,0.839086450747249,0.535,0.187,2.21381979439522e-130,"0","Lox"
"Clic4",2.36982295665708e-134,0.683874501994043,0.915,0.62,4.44389200832336e-130,"0","Clic4"
"Msi2",8.1855019630801e-134,0.453464973545227,0.303,0.066,1.53494532811678e-129,"0","Msi2"
"Omd",1.58040600288106e-133,0.736285335395181,0.443,0.13,2.96357733660257e-129,"0","Omd"
"Arf2",9.4411025839677e-132,0.592265289730281,0.451,0.139,1.77039555654562e-127,"0","Arf2"
"Scd1",2.49851296268351e-129,1.01329454150196,0.548,0.217,4.68521150762412e-125,"0","Scd1"
"Fn1",3.21375891194965e-129,0.667103728858881,0.749,0.319,6.02644071168799e-125,"0","Fn1"
"S100a1",2.18853920239636e-128,0.723896600486829,0.604,0.25,4.10394871233366e-124,"0","S100a1"
"Zbtb20",2.34960826172085e-128,0.612219652316745,0.814,0.409,4.40598541237893e-124,"0","Zbtb20"
"Nfatc2",6.75475076273951e-128,0.602569050651949,0.343,0.085,1.26665086302891e-123,"0","Nfatc2"
"Itga5",1.11116045704039e-127,0.875373735118941,0.624,0.269,2.08364808904214e-123,"0","Itga5"
"Ripk2",7.15923689820022e-126,0.832623264284878,0.461,0.155,1.34250010315051e-121,"0","Ripk2"
"Fap",5.56291921636139e-124,0.483773670083438,0.297,0.066,1.04315861145209e-119,"0","Fap"
"Mall",6.76955466327631e-123,0.591119894452628,0.397,0.115,1.26942689045757e-118,"0","Mall"
"Prr7",5.50312751360777e-121,0.631723488026957,0.424,0.132,1.03194647135173e-116,"0","Prr7"
"G530011O06Rik",4.58077844157936e-120,0.657613936351484,0.343,0.089,8.58987573364962e-116,"0","G530011O06Rik"
"Pdlim4",4.81714670867644e-120,0.695350661195045,0.699,0.325,9.03311350811006e-116,"0","Pdlim4"
"Col6a3",4.69724421871607e-119,0.589631298442801,0.708,0.299,8.80827235893638e-115,"0","Col6a3"
"Ano6",1.06850433805026e-117,0.592233630495924,0.439,0.146,2.00365933471185e-113,"0","Ano6"
"Ywhaq",1.23744480956463e-117,0.626023606013904,0.889,0.627,2.3204565068956e-113,"0","Ywhaq"
"Cox4i2",5.66181558204273e-117,0.464857892236291,0.271,0.057,1.06170365794465e-112,"0","Cox4i2"
"Golph3",7.04558512424689e-116,0.643845050207792,0.673,0.335,1.32118812249878e-111,"0","Golph3"
"Sertad2",2.36015762906859e-115,0.673514009958499,0.706,0.375,4.42576758602942e-111,"0","Sertad2"
"Pdrg1",1.99790086618256e-114,0.602826407112176,0.508,0.197,3.74646370426554e-110,"0","Pdrg1"
"Cdc42se1",1.03285572498137e-111,0.630634736935638,0.554,0.231,1.93681105548506e-107,"0","Cdc42se1"
"Nr4a2",8.25098518244359e-111,0.71653100340005,0.732,0.36,1.54722474141182e-106,"0","Nr4a2"
"Ets1",1.75397555122035e-109,0.622271653623252,0.641,0.288,3.28905495364841e-105,"0","Ets1"
"Sash1",4.04895791548387e-109,0.601502943517818,0.501,0.191,7.59260588311534e-105,"0","Sash1"
"Myd88",2.74358844497681e-108,0.67453212305913,0.662,0.338,5.14477705202052e-104,"0","Myd88"
"Map2k3",2.0864410778837e-106,0.639560249200531,0.856,0.586,3.91249430924751e-102,"0","Map2k3"
"Dgat2",5.08355301309908e-106,0.763473895774163,0.27,0.065,9.5326786101634e-102,"0","Dgat2"
"Col6a2",1.46698746731293e-105,0.454384892327076,0.816,0.373,2.7508948987052e-101,"0","Col6a2"
"Rhoc",6.84654064402899e-105,0.575478425658573,0.806,0.44,1.28386330156832e-100,"0","Rhoc"
"Npr2",1.15428445961763e-104,0.427039661722427,0.262,0.061,2.16451421867498e-100,"0","Npr2"
"Klf2",3.69478089326396e-104,0.954178149675499,0.69,0.35,6.92845313104858e-100,"0","Klf2"
"Mras",7.7961384102437e-104,0.406018743725571,0.276,0.066,1.4619318746889e-99,"0","Mras"
"Ube2f",1.3911870167422e-103,0.627285225466018,0.661,0.344,2.60875389379498e-99,"0","Ube2f"
"Ltbp3",1.4603685800789e-103,0.510315257549998,0.405,0.132,2.73848316136395e-99,"0","Ltbp3"
"Tmbim1",8.71165542185223e-103,0.587710351310925,0.806,0.487,1.63360962470573e-98,"0","Tmbim1"
"Cpne8",1.7165711778552e-101,0.603361798635598,0.618,0.293,3.21891427271407e-97,"0","Cpne8"
"Pitpnc1",3.16267135721039e-101,0.403473073549662,0.267,0.063,5.93064132904093e-97,"0","Pitpnc1"
"Atf4",1.21236269843802e-100,0.653333005504516,0.887,0.679,2.27342253211098e-96,"0","Atf4"
"Hif1a",3.13311361262282e-100,0.599422714345818,0.596,0.278,5.87521464639031e-96,"0","Hif1a"
"Skil",9.98872141889834e-100,0.695838635184356,0.677,0.355,1.87308504047182e-95,"0","Skil"
"Timp3",1.62389597295578e-98,0.607918161359057,0.768,0.385,3.04512972848667e-94,"0","Timp3"
"Gpx1",2.86341015813947e-98,0.697410247367811,0.914,0.751,5.36946672854313e-94,"0","Gpx1"
"Mtmr11",1.00621317615195e-97,0.47048208306618,0.32,0.092,1.88685094792013e-93,"0","Mtmr11"
"Ugdh",4.31231034224467e-97,0.740206242423524,0.724,0.39,8.08644435377721e-93,"0","Ugdh"
"Klf10",8.84220768025597e-96,0.705219060581237,0.682,0.375,1.6580907842016e-91,"0","Klf10"
"Gpd2",4.3041473690868e-95,0.574477221066138,0.419,0.154,8.07113714651157e-91,"0","Gpd2"
"Junb",7.66915777755416e-95,0.707944280941268,0.991,0.925,1.43812046644696e-90,"0","Junb"
"Arpc1b",1.6201779456847e-94,0.450716717137911,0.968,0.788,3.03815768374795e-90,"0","Arpc1b"
"Bambi",2.41380030020651e-94,0.576177813040993,0.428,0.149,4.52635832294725e-90,"0","Bambi"
"Efemp2",2.00927652007678e-93,0.501828440782211,0.478,0.187,3.76779533044798e-89,"0","Efemp2"
"Dap",3.40169195762862e-93,0.53493052146078,0.675,0.35,6.37885275894519e-89,"0","Dap"
"Myc",1.48193738010887e-91,0.736029428349382,0.71,0.417,2.77892897518016e-87,"0","Myc"
"Smad7",2.53820152530514e-91,0.611095566932669,0.544,0.248,4.75963550025221e-87,"0","Smad7"
"Relb",2.6842591397462e-91,0.579062853420031,0.63,0.329,5.03352273885207e-87,"0","Relb"
"Neo1",2.80971364172265e-91,0.427901204623155,0.291,0.083,5.26877502095831e-87,"0","Neo1"
"Btg1",8.99206683157834e-91,0.540564964171188,0.963,0.82,1.68619237225757e-86,"0","Btg1"
"Batf",9.82816525045137e-90,0.613247573152514,0.277,0.074,1.84297754776464e-85,"0","Batf"
"Phldb1",1.43358022942327e-89,0.47545271709167,0.416,0.152,2.68824964621452e-85,"0","Phldb1"
"Ptma",2.2819515228971e-88,0.41073297079194,1,0.957,4.27911549573665e-84,"0","Ptma"
"Ppic",1.27454069386618e-87,0.411058873065675,0.911,0.515,2.39001870913787e-83,"0","Ppic"
"Atf3",3.57656566584307e-87,0.868712072761225,0.8,0.537,6.70677593658893e-83,"0","Atf3"
"Cd109",3.91385010839902e-87,0.631172975557228,0.487,0.216,7.33925172326985e-83,"0","Cd109"
"Rela",8.31774264698015e-87,0.592054237566848,0.732,0.456,1.55974310116172e-82,"0","Rela"
"Prnp",1.85173834741242e-86,0.428964083984522,0.828,0.517,3.47237974906777e-82,"0","Prnp"
"Fuca1",8.26900674808369e-86,0.513503363279881,0.771,0.47,1.55060414540065e-81,"0","Fuca1"
"Pmvk",1.55788663352055e-85,0.697159874748238,0.392,0.148,2.92134901517773e-81,"0","Pmvk"
"Cdc42ep3",1.84613105551957e-85,0.566487275413065,0.505,0.212,3.46186495531031e-81,"0","Cdc42ep3"
"Erf",2.89151024760874e-85,0.548021223522487,0.571,0.277,5.4221600163159e-81,"0","Erf"
"Elovl6",4.75192032246844e-85,0.258848145256827,0.276,0.077,8.91080098869282e-81,"0","Elovl6"
"Fas",5.41780909163393e-85,0.60876739592719,0.486,0.21,1.0159475608632e-80,"0","Fas"
"Yaf2",2.96774870238861e-84,0.494133097993208,0.447,0.185,5.56512236671913e-80,"0","Yaf2"
"Ucma",7.00725654515578e-84,0.462256959788526,0.271,0.07,1.31400074734761e-79,"0","Ucma"
"Twsg1",3.9322091431058e-82,0.477463741819519,0.411,0.162,7.373678585152e-78,"0","Twsg1"
"Adrb2",3.12233364512578e-81,0.604455552230506,0.486,0.206,5.85500005133987e-77,"0","Adrb2"
"Pcyt2",2.62014330484083e-80,0.456454803302659,0.275,0.082,4.91329272523752e-76,"0","Pcyt2"
"Chd9",4.82592003357617e-80,0.433546939624855,0.292,0.091,9.04956524696204e-76,"0","Chd9"
"Fermt2",5.39098582907968e-79,0.57790558251371,0.628,0.325,1.01091766266902e-74,"0","Fermt2"
"Nr4a1",1.127902904525e-78,0.599095995336045,0.866,0.589,2.11504352656527e-74,"0","Nr4a1"
"Sod2",2.10117380976033e-78,0.572609079851576,0.846,0.634,3.94012112806257e-74,"0","Sod2"
"Arid5a",2.5500755077812e-78,0.565421163936489,0.629,0.343,4.78190159219131e-74,"0","Arid5a"
"Prelp",3.48914651451385e-78,0.382659189156017,0.557,0.241,6.54284754401638e-74,"0","Prelp"
"Sat1",9.41560639774796e-78,0.754942901216548,0.892,0.656,1.7656145117057e-73,"0","Sat1"
"Ank",1.02623674393533e-77,0.50507915574211,0.32,0.106,1.92439914222752e-73,"0","Ank"
"Rin2",2.12641379359318e-77,0.513789494827657,0.332,0.115,3.98745114574593e-73,"0","Rin2"
"Egr1",4.04495795810017e-77,0.726222191366361,0.725,0.44,7.58510516302944e-73,"0","Egr1"
"Arl6ip5",1.43978170892439e-76,0.583374744076336,0.792,0.533,2.69987866057501e-72,"0","Arl6ip5"
"Tuba1c",1.94618948002714e-75,0.524707378961699,0.795,0.515,3.64949451294689e-71,"0","Tuba1c"
"Fbln7",3.39314291658752e-75,0.503155487668073,0.294,0.091,6.36282159718492e-71,"0","Fbln7"
"Rnf11",3.7816715858596e-75,0.504309466232456,0.663,0.383,7.09139055780392e-71,"0","Rnf11"
"Fut8",6.94596106415735e-75,0.353203716541878,0.256,0.074,1.30250661875079e-70,"0","Fut8"
"Rcn2",9.95451613977885e-75,0.455779408767885,0.576,0.29,1.86667086653133e-70,"0","Rcn2"
"Dusp14",1.62823010226957e-74,0.476833313897091,0.323,0.111,3.05325708777589e-70,"0","Dusp14"
"Col16a1",1.3426022374483e-73,0.461275162147581,0.492,0.215,2.51764771566305e-69,"0","Col16a1"
"Spry2",1.43892301065362e-73,0.57789582151026,0.365,0.135,2.69826842957767e-69,"0","Spry2"
"Nt5e",1.48682724320139e-73,0.44663197422782,0.275,0.085,2.78809844645125e-69,"0","Nt5e"
"Srxn1",4.00288592401394e-73,0.58708565491567,0.53,0.252,7.50621168471094e-69,"0","Srxn1"
"Icam1",4.74434442066352e-73,0.642875835414318,0.848,0.656,8.89659465762823e-69,"0","Icam1"
"Ier2",3.24606877522425e-72,0.60353594823231,0.935,0.719,6.08702816730051e-68,"0","Ier2"
"1810055G02Rik",7.17258867514176e-72,0.466661405458785,0.33,0.12,1.34500382836258e-67,"0","1810055G02Rik"
"P3h3",3.01750662835888e-71,0.437675403904,0.435,0.185,5.65842842949857e-67,"0","P3h3"
"Medag",4.25777589336891e-71,0.707562123867919,0.413,0.175,7.98418135524539e-67,"0","Medag"
"Col6a1",5.86649883855938e-71,0.294075991433858,0.846,0.422,1.10008586220665e-66,"0","Col6a1"
"Cdkn2d",6.3861457543914e-71,0.565534183797635,0.399,0.163,1.19753005186347e-66,"0","Cdkn2d"
