"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Vamp87",1.99624968577971e-18,0.399338770392234,0.823,0.439,3.74336741077411e-14,"35","Vamp8"
"Rps59",2.29258036459292e-18,0.351048183610136,1,0.978,4.29904669968464e-14,"35","Rps5"
"Arhgap313",2.74501537621727e-18,0.389262736326563,0.377,0.115,5.14745283348263e-14,"35","Arhgap31"
"M6pr3",4.9589912015143e-18,0.404091454321813,0.569,0.236,9.29910030107961e-14,"35","M6pr"
"Arpc55",5.4283095450834e-18,0.529078263298014,0.831,0.578,1.01791660589404e-13,"35","Arpc5"
"Rpl35a7",5.9855996799395e-18,0.432799346529462,0.992,0.914,1.12241965198226e-13,"35","Rpl35a"
"Actr22",6.18415288036394e-18,0.364823075041258,0.592,0.248,1.15965234812585e-13,"35","Actr2"
"Tiam12",8.04932473009357e-18,0.371546618044441,0.262,0.068,1.50940937338715e-13,"35","Tiam1"
"Nadk2",8.28409215610751e-18,0.370110819102159,0.508,0.197,1.55343296111328e-13,"35","Nadk"
"Jtb",8.72206828614477e-18,0.558250818852163,0.738,0.401,1.63556224501787e-13,"35","Jtb"
"Scd22",8.99972755637757e-18,0.389772139098608,0.392,0.133,1.68762891137192e-13,"35","Scd2"
"Psme24",9.08381978666101e-18,0.435743249134887,0.808,0.496,1.70339788639467e-13,"35","Psme2"
"Ppp1r113",9.68660094473557e-18,0.440433112067126,0.631,0.292,1.81643140915681e-13,"35","Ppp1r11"
"Prkcd1",1.61917888456477e-17,0.379110212862043,0.408,0.142,3.03628424433585e-13,"35","Prkcd"
"Mndal2",1.87548456901665e-17,0.262871432643479,0.254,0.063,3.51690866382001e-13,"35","Mndal"
"Trappc4",2.66582959738903e-17,0.440472065909099,0.662,0.305,4.99896366102391e-13,"35","Trappc4"
"Cyth11",4.57848697296992e-17,0.253629891361421,0.292,0.081,8.5855787717132e-13,"35","Cyth1"
"Dusp56",5.58848883056172e-17,0.439699022900719,0.469,0.182,1.04795342550693e-12,"35","Dusp5"
"Cox7a2l4",7.34178552491489e-17,0.564552841726303,0.908,0.689,1.37673162163204e-12,"35","Cox7a2l"
"Cnot8",9.62120174456796e-17,0.274455160422342,0.308,0.09,1.80416775114138e-12,"35","Cnot8"
"Rpl198",1.05173032282098e-16,0.306708957972606,1,0.973,1.97220470135391e-12,"35","Rpl19"
"Cdc42se13",1.15662304733873e-16,0.375262630120749,0.585,0.245,2.16889953836959e-12,"35","Cdc42se1"
"Rps236",1.22490816248514e-16,0.296456817924498,1,0.977,2.29694778629213e-12,"35","Rps23"
"Rpl344",1.27468636884454e-16,0.381366625296359,0.992,0.921,2.39029187885728e-12,"35","Rpl34"
"Tmem1604",1.41712766500685e-16,0.483907157961261,0.715,0.38,2.65739779742084e-12,"35","Tmem160"
"Mrpl522",1.45891990047196e-16,0.416758414800744,0.685,0.342,2.73576659736501e-12,"35","Mrpl52"
"Rpl2710",1.81858932074892e-16,0.402338965154977,0.985,0.906,3.41021869426838e-12,"35","Rpl27"
"Tmem2385",2.90103979462332e-16,0.381710977127652,0.392,0.139,5.44002982287765e-12,"35","Tmem238"
"Rpl18a9",3.21578701340088e-16,0.307944823839636,1,0.986,6.03024380752933e-12,"35","Rpl18a"
"Coa5",5.55671753879015e-16,0.281785781714812,0.254,0.069,1.04199567287393e-11,"35","Coa5"
"Leprotl11",6.6547112838034e-16,0.399304650710965,0.538,0.236,1.24789145993881e-11,"35","Leprotl1"
"Rab1b",7.87708889685161e-16,0.305946050883389,0.377,0.129,1.47711170993761e-11,"35","Rab1b"
